actual,predicted,residuals,abs_error,percentage_error
1.0017949,1.1021895,-0.10039461,0.10039461,10.021473
1.0191176,1.0929264,-0.07380879,0.07380879,7.242421
0.8761121,0.89138186,-0.015269756,0.015269756,1.7428998
0.6156727,0.5877838,0.027888894,0.027888894,4.5298243
0.58132744,0.4716171,0.109710336,0.109710336,18.872381
0.5517815,0.45235813,0.09942335,0.09942335,18.01861
0.52111065,0.4297282,0.091382444,0.091382444,17.53609
0.49103975,0.42488742,0.066152334,0.066152334,13.4718895
0.4899149,0.4387293,0.051185608,0.051185608,10.447857
0.48864007,0.49301845,-0.0043783784,0.0043783784,0.89603347
0.5046129,0.5563132,-0.051700294,0.051700294,10.245535
0.54683214,0.6742155,-0.12738335,0.12738335,23.29478
0.7825999,0.8174658,-0.034865856,0.034865856,4.4551315
1.0336655,0.89295673,0.1407088,0.1407088,13.612604
1.0176927,0.9636204,0.05407226,0.05407226,5.313221
1.0005201,1.0680145,-0.06749439,0.06749439,6.7459307
0.99474585,1.1380659,-0.14332008,0.14332008,14.407709
0.98559725,1.1750039,-0.18940663,0.18940663,19.217447
1.0068192,1.1735117,-0.1666925,0.1666925,16.556349
1.0117686,1.1773337,-0.16556513,0.16556513,16.363934
0.99714565,1.1852391,-0.18809342,0.18809342,18.863184
0.9936211,1.2172266,-0.22360551,0.22360551,22.504103
0.9956459,1.2110606,-0.21541476,0.21541476,21.63568
1.0093689,1.194881,-0.18551207,0.18551207,18.379017
1.0428894,1.1947311,-0.15184176,0.15184176,14.559719
1.0627617,1.2016882,-0.1389265,0.1389265,13.072216
0.9403783,1.0482762,-0.10789788,0.10789788,11.47388
0.6956118,0.7637315,-0.068119705,0.068119705,9.792776
0.63577,0.56865007,0.067119956,0.067119956,10.55727
0.5921259,0.5362325,0.05589342,0.05589342,9.439449
0.5586805,0.523116,0.035564482,0.035564482,6.3658
0.5298095,0.5275216,0.0022878647,0.0022878647,0.43182784
0.53190917,0.53366727,-0.0017580986,0.0017580986,0.3305261
