Hour,Month,Day,DayOfWeek,Quarter,WeekOfYear,Zone_encoded,Renewable_energy_percentage_RE%,Carbon-free_energy_percentage_CFE%,Carbon_Efficiency,Clean_Energy_Gap,Carbon_Intensity_MA_24h,RE_Percentage_MA_24h
19,2,6,0.9990596645021408,-1.350442535864218,-1.428895211084357,4,-0.8622482570921233,-0.876040090017034,-0.6896372192486142,-0.2184838646356959,0.715965283704472,-0.6000400535007984
20,2,6,0.9990596645021408,-1.350442535864218,-1.428895211084357,4,-0.8525620425164184,-0.8637463561392791,-0.6851951559630289,-0.2023504173647681,0.7177897444719757,-0.6022497496360605
21,2,6,0.9990596645021408,-1.350442535864218,-1.428895211084357,4,-0.8503267622297173,-0.8615768736902634,-0.6841800983296351,-0.2023504173647674,0.719536153441941,-0.6043234644706913
22,2,6,0.9990596645021408,-1.350442535864218,-1.428895211084357,4,-0.8533071359453187,-0.8659158385882946,-0.685597035452222,-0.210417141000232,0.721838681469379,-0.607043090483322
23,2,6,0.9990596645021408,-1.350442535864218,-1.428895211084357,4,-0.8957774613926399,-0.920152899813684,-0.7049578065515766,-0.2830176537194085,0.7255851677513149,-0.6112925061280571
0,2,7,1.4987605100473749,-1.350442535864218,-1.428895211084357,4,-0.9173851708307508,-0.9469098500182092,-0.714637316580915,-0.3152845482612649,0.7285576403743079,-0.6145900526683715
1,2,7,1.4987605100473749,-1.350442535864218,-1.428895211084357,4,-0.9136597036862488,-0.9469098500182092,-0.7131907318017264,-0.3354513573499246,0.7311918885412941,-0.6174796553067917
2,2,7,1.4987605100473749,-1.350442535864218,-1.428895211084357,4,-0.6618181247179231,-0.714775227973543,-0.6003337008471008,-0.4040185082513699,0.7342294043289039,-0.6209131831477376
3,2,7,1.4987605100473749,-1.350442535864218,-1.428895211084357,4,-0.3421730437196635,-0.4146634891930553,-0.4436495151879829,-0.4604855736996179,0.7369124348693521,-0.6240407530622627
4,2,7,1.4987605100473749,-1.350442535864218,-1.428895211084357,4,-0.2453108979626151,-0.3235452263344012,-0.3929285054986332,-0.4766190209705457,0.7386035571493924,-0.6258765006207884
5,2,7,1.4987605100473749,-1.350442535864218,-1.428895211084357,4,-0.2020954790863936,-0.2837713814357825,-0.3699006147647351,-0.4887191064237423,0.7406329038854405,-0.6281201920812086
6,2,7,1.4987605100473749,-1.350442535864218,-1.428895211084357,4,-0.1857034236505853,-0.2750934516397202,-0.3612989281344941,-0.5290527246010632,0.7408930765439079,-0.6280522014308929
7,2,7,1.4987605100473749,-1.350442535864218,-1.428895211084357,4,-0.1372723507720612,-0.2259185161287005,-0.3343606706046487,-0.5169526391478667,0.7414849693419218,-0.6284261500076296
